impedence,impedence_fluctuation,applied_voltage,output_current,configured_resistance,saturated,max_force_applicable,quality_index,connector_type,broke
2.0187730434291438,1.1193719789229823,-27,2.784376121650587,11,False,3.0187730434291438,4.489199209561996,type_b,1
1.2867625306319816,0.9863668311834228,17,9.323102552438153,26,False,3.2867625306319814,1.923110316364818,type_a,1
-1.4309523704762772,-0.2282857675875426,9,2.319530808288584,78,False,-1.4309523704762772,1.7714342124764213,type_b,1
-0.08141360444451443,0.13595573871648084,7,0.8988743957677999,19,False,-0.08141360444451443,0.00034545409974497414,type_b,1
-2.4121520663081344,0.18394304611779805,18,3.0932901622526194,99,False,-2.4121520663081344,5.346047177732975,type_b,1
0.42866583203909403,0.7631187144830592,14,-0.5322542023336514,12,False,1.4286658320390941,0.27948756196558755,type_a,0
0.036025542920718044,0.9909006258880297,6,2.9973338973651886,17,False,0.036025542920718044,0.01850294832687611,type_b,1
0.30276836717468847,0.3297391441368883,9,-0.19016420242769275,68,False,0.30276836717468847,0.16222235759656464,type_b,0
-1.6991640746720975,0.3168068311698793,14,-0.3788616508611493,34,False,-0.6991640746720975,2.5573257377218654,type_b,1
0.7679526979470124,0.9984065573045987,19,-0.12634806732648213,10,False,0.7679526979470124,0.7533418858734977,type_a,0
2.0462607115223834,0.5802269292752733,0,-0.7232993317152105,72,False,3.0462607115223834,4.606435041824568,type_b,1
-1.0733197914402106,0.380014090642461,4,1.0800828410102863,83,False,-1.0733197914402106,0.9473514164092152,type_b,0
0.9697667934513623,0.4805100612167756,5,-6.882863989381789,86,False,0.9697667934513623,1.1444009923712097,type_b,1
0.7261338689846925,0.5560842436642092,10,0.8859364349782707,11,False,0.7261338689846925,0.6824971694836169,type_a,0
0.18952835850171815,0.47369045709197677,6,0.9973878753880289,58,False,0.18952835850171815,0.08382667037669943,type_b,1
0.8619701701176684,0.31719886664394625,0,-0.20329205782073195,74,False,0.8619701701176684,0.9253866081962159,type_b,0
-0.2563007589673529,0.7370317517067333,16,0.05007925400082924,15,False,1.743699241032647,0.02442992725377054,type_b,1
-1.310478149329672,0.4042112271340506,8,-0.8080187241140359,28,False,-0.310478149329672,1.4652573500045876,type_b,0
0.4705200241601336,0.25080717216306225,2,-0.7814336551390071,87,False,1.4705200241601335,0.3254930979676794,type_a,0
-0.9174383427473242,-0.12379162908970365,15,-3.676639870948957,71,False,0.08256165725267584,0.6682054441934918,type_b,1
-0.745331773039096,0.8220487678463052,8,-2.884979077579625,29,False,1.254668226960904,0.4164530972937834,type_a,0
-0.5602932135654758,0.5607456641555,9,-2.304801457045058,89,False,0.4397067864345242,0.21186984245443272,type_a,0
-0.29252579955540237,0.6576986682406479,18,0.09726263238213434,89,False,0.7074742004445976,0.037066183494446965,type_b,1
0.27542022416575695,0.847572859949474,18,534.729483531235,1,True,0.27542022416575695,0.18287249449574156,type_a,1
-1.9881592804970245,0.4830075994357563,9,-2.8528073071386015,90,False,-1.9881592804970245,3.565145468527041,type_a,1
0.5039369482586622,0.7670567335953116,5,0.6204626460891967,27,False,6.503936948258662,0.364739837471986,type_b,0
-0.5089161262490625,0.4136118254018281,1,-0.4124203175053921,81,False,0.49108387375093754,0.1672123983065392,type_b,0
0.47081825063760013,0.6957831594359754,8,-0.3751555129296723,76,False,1.4708182506376002,0.3258334752609701,type_b,0
0.5528193638956906,0.9063109709884705,0,-1.8353922033065364,7,False,0.5528193638956906,0.42617312187717415,type_a,0
-0.6808233814254327,0.7720666481537842,6,-2.6425089923529144,6,False,0.31917661857456725,0.33735580041047375,type_b,0
-0.3814664397603795,0.5882317394016807,8,-0.28366903590260256,68,False,0.6185335602396205,0.07922335671138336,type_b,1
0.15672544246774053,0.7342909650505455,3,2.5365340489173307,85,False,1.1567254424677405,0.06590795281025716,type_a,1
-0.9275264599456388,-0.015440341469246749,15,-2.134102875196742,99,False,1.0724735400543612,0.6848000419101609,type_b,0
-0.403759925878895,0.8382404353117627,16,-0.08408694123738242,36,False,0.596240074121105,0.09227009256995178,type_a,1
-1.3456411050960246,0.2406167611980518,14,-1.8674422878789632,49,False,0.6543588949039754,1.5516217627048452,type_a,0
0.9760287793530152,1.1200474061493533,-26,3.06162298014304,25,False,0.9760287793530152,1.15783793399594,type_a,0
2.063282125004167,1.084350558052059,-11,-2.133524328365512,91,False,3.063282125004167,4.6797895523625455,type_a,1
-0.8381716565854435,0.11037623148110465,13,-1.5472425995722705,45,False,-0.8381716565854435,0.5448973945860979,type_b,0
-1.6888988741139848,-0.1749619897727227,10,2.511554974786361,29,False,-1.6888988741139848,2.524599632160688,type_a,1
0.002588260268703256,0.03911655697646831,12,-6.102832375175482,21,False,0.002588260268703256,0.010524351144959202,type_b,1
-2.29330215587396,0.2671819884335507,17,-2.204597109795642,44,False,-1.2933021558739601,4.810574346961361,type_b,1
1.0638723689635865,0.5247602560144669,3,-0.20506491388599887,80,False,2.0638723689635867,1.3545988912369111,type_b,0
0.912468830046616,0.9314588218139059,8,-0.7371399530759772,97,False,0.912468830046616,1.0250931318159635,type_a,0
-0.44348523457362493,0.7508214201799216,9,0.2141037806534885,78,False,0.5565147654263751,0.11798210637009812,type_b,0
1.1240733307552195,0.9309846292350306,3,-1.8458694330843821,10,False,1.1240733307552195,1.4983555190661773,type_a,0
-0.7292242248417464,0.6075162815696091,7,-2.958731565716291,41,False,-0.7292242248417464,0.3959231251276967,type_a,0
-0.005860013587028701,0.06675555234851711,16,-0.5237602601463182,96,False,0.9941399864129713,0.008862337041834423,type_a,1
0.510970201284513,0.6466881970252851,8,-0.7395509145220001,95,False,1.510970201284513,0.37328458685763827,type_b,0
-0.35096770929240145,0.24682112937983475,7,-3.0243290516921695,32,False,-0.35096770929240145,0.0629847911074753,type_b,1
-1.8382095634028939,0.3738147750999241,6,0.5071986958763743,5,False,-0.8382095634028939,3.0213724863052787,type_b,1
-0.5858108016983395,0.008941907358730294,14,-2.0107121034783946,80,False,-0.5858108016983395,0.23601213504678342,type_a,0
0.7760568006955973,0.42239566059537503,7,-0.690846965770936,16,False,0.7760568006955973,0.7674755180450056,type_b,0
0.2432874677022424,0.9543173798467741,10,0.19045683696071747,94,False,0.2432874677022424,0.11784628548141811,type_a,0
-1.151814878632594,0.031030692763122175,17,1.14530936294279,7,True,-1.151814878632594,1.2749955962989876,type_b,0
-0.9870692448640236,0.5868575066766897,18,0.5165874383684683,75,False,1.0129307551359763,0.7868918451836291,type_a,0
-1.6731520267320303,0.2475784539237157,8,-1.0025712177023092,31,True,-0.6731520267320303,2.6438319417114915,type_b,1
0.2710691769224789,0.2286935650487615,5,1.4625137913484452,33,False,1.271069176922479,0.13769233406192594,type_b,0
-0.47648778067394937,0.6940223336339438,18,1.3859603025637763,36,False,-0.47648778067394937,0.14174304899679582,type_a,0
-0.6842618089588667,0.2558443758229381,18,2.958171150280607,38,False,-0.6842618089588667,0.34136186140788727,type_a,0
-0.019109564118592673,0.5755228681924949,15,-1.4145946301367305,39,False,-0.019109564118592673,0.006543262617084071,type_b,1
0.16671368853170526,0.1484908899054163,17,2.0351107073191947,84,False,0.16671368853170526,0.0711361916501875,type_b,1
0.6548978473364981,0.28466920082722746,16,-8.067039176864014,2,False,0.6548978473364981,0.5698707599132788,type_b,1
0.7660269887756106,0.3901544516890202,0,-1.2418699863400549,77,False,0.7660269887756106,0.7500027452877516,type_a,0
-0.20839686412502462,0.17741516704325874,9,0.4733950813838053,56,False,-0.20839686412502462,0.011749880152139047,type_a,1
0.4401837916489872,0.20350575247782848,9,-0.7747502262574325,89,False,2.440183791648987,0.29179852876027645,type_b,0
1.2167703845420323,1.0055797677948959,-17,-1.8923584338684891,99,False,4.216770384542032,1.733884245606972,type_b,0
1.0559295380701543,0.5710262222752741,5,1.4060465453606439,14,False,1.0559295380701543,1.3361730969830805,type_b,0
0.24559467634616292,0.687549197644157,17,1.139278499847981,93,False,0.24559467634616292,0.1194356803188091,type_a,0
-0.1537112350890212,0.3233741540529925,12,1.38078230503908,27,False,-0.1537112350890212,0.0028848967747881027,type_b,1
